Site	Amaeana_occidentalis	Ampelisca_abdita	Caprella_californica	Cirriformia_sp	Dorvillea__Schistomeringos__sp	Glycinde_polygnatha	Harmothoe_imbricata_Cmplx	Leitoscoloplos_pugettensis	Leptochelia_dubia	Monocorophium_acherusicum	Nippoleucon_hinumensis	Oligochaeta	Paranthura_elegans	Pseudopolydora_paucibranchiata	Sabaco_elongatus	Sinocorophium_alienense	Synidotea_laevidorsalis	Theora_lubrica	Cossura_pygodactylata	Exogone_lourei	Nuculanidae	Photis_brevipes	Streblospio_benedicti	Capitella_capitata_Cmplx	Eudorella_pacifica	Mediomastus_sp	Nephtys_cornuta	Spiophanes_berkeleyorum	Turbellaria	Eusarsiella_zostericola	Gemma_gemma	Grandidierella_japonica	Heteromastus_filiformis	Neanthes_succinea	Polydora_cornuta	Venerupis_philippinarum	Euchone_limnicola	Dipolydora_sp	Musculista_senhousia	Philine_sp	Marphysa_sanguinea	Molgula_sp	Crepidula_convexa	Gnorimosphaeroma_oregonense	Potamocorbula_amurensis	Americorophium_spinicorne	Pseudopolydora_kempi	Sphaerosyllis_californiensis	Tharyx_sp	Nephtys_caecoides	Eteone_sp	Macoma_expansa	Armandia_brevis	Nemertea	Marenzelleria_viridis	Mya_arenaria	Rhepoxynius_homocuspidatus	Ampithoe_valida	Trochochaeta_multisetosa	Modiolus_sp	Phyllodoce_longipes	Heteromastus_filobranchus	Malmgreniella_sp	Paraprionospio_pinnata	Prionospio__Minuspio__lighti	Notomastus_sp	Pilargis_berkeleyae	Podocopida	Macoma_petalum	Paleanotus_bellis	Odostomia_sp	Apoprionospio_pygmaea	Maldanidae	Ampharete_labrops	Cumella_sp	Sinocorophium_heteroceratum	Americhelidium_sp	Caprella_equilibra	Cryptomya_californica	Mytilus_sp	Protothaca_sp	Tubulanus_sp	Macoma_nasuta	Neotrypaea_sp	Owenia_collaris	Pectinaria_californiensis	Tellina_modesta	Tenonia_priops	Gnathopleustes_pugettensis	Monocorophium_insidiosum	Amphiodia_sp	Glycera_americana	Odontosyllis_phosphorea	Paradexamine_sp_SD1	Pyromaia_tuberculata	Aricidea__Acmira__lopezi	Sigambra_tentaculata	Spiophanes_duplex	Jassa_marmorata	Rochefortia_coani	Ericthonius_brasiliensis	Melinna_sp	Munna_sp	Myxicola_sp	Rhepoxynius_tridentatus	Alia_carinata	Dyopedos_sp	Nutricola_confusa	Rochefortia_tumida	Pinnixa_sp	Podarkeopsis_glabrus	Golfingia_sp	Sphenia_fragilis	Cancer_jordani	Haliophasma_geminatum	Eupolymnia_heterobranchia	Syllis__Ehlersia__hyperioni	Protomedeia_articulata_Cmplx	Nassarius_obsoletus
E0000243	1.136363636	48.86363636	1.136363636	13.63636364	6.818181818	3.409090909	10.22727273	2.272727273	3.409090909	18.18181818	3.409090909	11.36363636	1.136363636	15.90909091	1.136363636	2.272727273	1.136363636	4.545454546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000244	2.272727273	14.77272727	0	0	2.272727273	0	0	0	1.136363636	0	0	18.18181818	0	0	0	13.63636364	0	0	11.36363636	6.818181818	1.136363636	6.818181818	2.272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000245	3.409090909	195.4545455	0	0	12.5	2.272727273	0	0	4.545454546	2.272727273	0	1.136363636	0	0	0	17.04545455	0	0	0	2.272727273	0	84.09090909	0	5.681818182	19.31818182	7.954545455	7.954545455	6.818181818	1.136363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000246	0	2.272727273	0	0	0	6.818181818	0	2.272727273	0	1.136363636	0	7.954545455	0	0	0	0	0	0	0	2.272727273	0	0	1.136363636	0	0	6.818181818	0	0	0	1.136363636	2.272727273	10.22727273	11.36363636	7.954545455	1.136363636	1.136363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000247	0	19.31818182	2.272727273	7.954545455	6.818181818	6.818181818	6.818181818	6.818181818	5.681818182	168.1818182	1.136363636	0	0	52.27272727	17.04545455	86.36363636	0	28.40909091	0	1.136363636	0	0	0	0	0	0	1.136363636	0	0	0	0	0	0	0	3.409090909	1.136363636	6.818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000248	0	1.136363636	117.0454546	9.090909091	2.272727273	1.136363636	40.90909091	0	1.136363636	915.9090909	1.136363636	0	0	601.1363636	2.272727273	1.136363636	0	34.09090909	0	0	0	0	0	13.63636364	0	0	0	0	0	0	0	0	10.22727273	0	0	1.136363636	1.136363636	39.77272727	1.136363636	2.272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000249	0	322.7272727	0	0	0	4.545454546	3.409090909	0	0	225	0	0	3.409090909	0	3.409090909	0	1.136363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.545454546	0	0	0	0	0	0	1.136363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000250	0	86.36363636	1.136363636	0	1.136363636	3.409090909	9.090909091	0	0	78.40909091	0	2.272727273	9.090909091	2.272727273	21.59090909	12.5	0	0	0	0	0	0	0	1.136363636	0	0	0	0	0	0	0	0	0	18.18181818	3.409090909	6.818181818	0	0	2.272727273	0	1.136363636	21.59090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000251	0	2807	0	0	0	14	4	0	0	427	29	51	0	12	8	0	9	2	0	0	0	0	0	0	0	1	0	0	0	0	0	181	21	6	8	9	0	0	1	0	1	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000252	0	17.04545455	0	0	0	0	1.136363636	0	0	2.272727273	0	2.272727273	0	0	1.136363636	0	0	29.54545455	0	0	0	0	0	1.136363636	0	0	0	0	0	0	0	0	0	1.136363636	0	1.136363636	0	3.409090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
