Site	Group	Amaeana_occidentalis	Ampelisca_abdita	Caprella_californica	Cirriformia_sp	Dorvillea__Schistomeringos__sp	Glycinde_polygnatha	Harmothoe_imbricata_Cmplx	Leitoscoloplos_pugettensis	Leptochelia_dubia	Monocorophium_acherusicum	Nippoleucon_hinumensis	Oligochaeta	Paranthura_elegans	Pseudopolydora_paucibranchiata	Sabaco_elongatus	Sinocorophium_alienense	Synidotea_laevidorsalis	Theora_lubrica	Cossura_pygodactylata	Exogone_lourei	Nuculanidae	Photis_brevipes	Streblospio_benedicti	Capitella_capitata_Cmplx	Eudorella_pacifica	Mediomastus_sp	Nephtys_cornuta	Spiophanes_berkeleyorum	Turbellaria	Eusarsiella_zostericola	Gemma_gemma	Grandidierella_japonica	Heteromastus_filiformis	Neanthes_succinea	Polydora_cornuta	Venerupis_philippinarum	Euchone_limnicola	Dipolydora_sp	Musculista_senhousia	Philine_sp	Marphysa_sanguinea	Molgula_sp	Crepidula_convexa	Gnorimosphaeroma_oregonense	Potamocorbula_amurensis	Americorophium_spinicorne	Pseudopolydora_kempi	Sphaerosyllis_californiensis	Tharyx_sp	Nephtys_caecoides	Eteone_sp	Macoma_expansa	Armandia_brevis	Nemertea	Marenzelleria_viridis	Mya_arenaria	Rhepoxynius_homocuspidatus	Ampithoe_valida	Trochochaeta_multisetosa	Modiolus_sp	Phyllodoce_longipes	Heteromastus_filobranchus	Malmgreniella_sp	Paraprionospio_pinnata	Prionospio__Minuspio__lighti	Notomastus_sp	Pilargis_berkeleyae	Podocopida	Macoma_petalum	Paleanotus_bellis	Odostomia_sp	Apoprionospio_pygmaea	Maldanidae	Ampharete_labrops	Cumella_sp	Sinocorophium_heteroceratum	Americhelidium_sp	Caprella_equilibra	Cryptomya_californica	Mytilus_sp	Protothaca_sp	Tubulanus_sp	Macoma_nasuta	Neotrypaea_sp	Owenia_collaris	Pectinaria_californiensis	Tellina_modesta	Tenonia_priops	Gnathopleustes_pugettensis	Monocorophium_insidiosum	Amphiodia_sp	Glycera_americana	Odontosyllis_phosphorea	Paradexamine_sp_SD1	Pyromaia_tuberculata	Aricidea__Acmira__lopezi	Sigambra_tentaculata	Spiophanes_duplex	Jassa_marmorata	Rochefortia_coani	Ericthonius_brasiliensis	Melinna_sp	Munna_sp	Myxicola_sp	Rhepoxynius_tridentatus	Alia_carinata	Dyopedos_sp	Nutricola_confusa	Rochefortia_tumida	Pinnixa_sp	Podarkeopsis_glabrus	Golfingia_sp	Sphenia_fragilis	Cancer_jordani	Haliophasma_geminatum	Eupolymnia_heterobranchia	Syllis__Ehlersia__hyperioni	Protomedeia_articulata_Cmplx	Nassarius_obsoletus
E0000265	1	0	2.2727272727	0	0	0	0	0	0	0	0	0	2.2727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000271	1	0	1.1363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1363636364	5.6818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000280	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E0000281	2	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFE01609	2	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	65	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFE92587	2	0	314	0	0	0	1	0	0	0	0	180.66666667	33.333333333	0	0	0	0	0	0	0	0	0	0	169.66666667	6.3333333333	0	0	0	0	0	112	233.33333333	106.33333333	15	0	16.666666667	0	0	0	0	0	0	0	0	0	5.3333333333	0	46.333333333	0	0	1	5.6666666667	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFE94443	3	0	2	0	7	1	0	5	1	0	0	0	3	2	0	10	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	1	5	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFE94475	3	0	226	0	0	2	8	8	0	51	9	0	2	7	0	2	0	0	0	0	12	0	1	0	0	0	46	5	0	0	0	0	0	0	0	0	1	4	0	21	1	0	0	1	0	0	0	1	11	0	0	0	0	2	13	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	1	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	16	0	0	15	2	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFE95467	3	0	1813	3	6	6	4	19	2	20	884	11	0	0	0	21	0	0	4	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	1	1	3	0	0	57	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	2	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0
SFE95477	3	0	19	0	0	7	20	3	0	290	6	0	1	1	2	18	0	1	0	1	57	1	0	0	0	3	54	7	1	0	0	0	0	0	0	0	1	0	2	43	0	0	1	0	0	0	0	0	27	0	0	0	0	1	12	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	215	0	0	13	5	1	1	0	8	3	0	0	0	0	0	2	0	0	2	1	0	0
