Site	Latitude	Longitude	SampleDepth
B0303002	33.228817	-117.412117	0.6
B0303003	33.766882	-118.248617	4
B0303005	33.755357	-118.129843	6
B0303006	32.76745	-117.24148	8
B0303009	32.75785	-117.227417	0.6
B0303013	32.6235	-117.1336	3
B0303015	33.609367	-117.904997	7
B0303018	32.718117	-117.230517	4
B0303019	32.6604	-117.12337	8
B0303020	33.9643	-118.45345	6.5
B0303021	33.139433	-117.318667	1
B0303023	33.615369	-117.902751	2.5
B0303024	33.744084	-118.168929	11
B0303025	33.63305	-117.887967	0.5
B0303026	32.71625	-117.174117	10
