StationID,Taxa,Abundance,Spell Checker
Dummy1,Achelia sp,5,Correct
Dummy1,Amaeana occidentalis,1,Correct
Dummy1,Ampelisca cristata,8,Correct
Dummy1,Ampharete labrops,5,Correct
Dummy1,Amphicteis scaphobranchiata,4,Correct
Dummy1,Amphideutopus oculatus,1,Correct
Dummy1,Amphiodia sp,4,Correct
Dummy1,Aphelochaeta glandaria Cmplx,2,Correct
Dummy1,Aphelochaeta monilaris,9,Correct
Dummy1,Aphelochaeta petersenae,3,Correct
Dummy1,Boccardia basilaria,1,Correct
Dummy1,Cadulus aberrans,6,Correct
Dummy1,Chaetozone corona,3,Correct
Dummy1,Cirrophorus furcatus,1,Correct
Dummy1,Cooperella subdiaphana,1,Correct
Dummy1,Corbula porcella,1,Correct
Dummy1,Cossura candida,2,Correct
Dummy1,Cossura sp A,13,Correct
Dummy1,Crangon nigromaculata,1,Correct
Dummy1,Diopatra tridentata,3,Correct
Dummy1,Euclymeninae,7,Correct
Dummy1,Euphilomedes carcharodonta,4,Correct
Dummy1,Glycera americana,3,Correct
Dummy1,Gnathiidae,4,Correct
Dummy1,Laonice cirrata,2,Correct
Dummy1,Leitoscoloplos pugettensis,11,Correct
Dummy1,Lineidae,1,Correct
Dummy1,Listriella goleta,2,Correct
Dummy1,Lucinisca nuttalli,2,Correct
Dummy1,Lumbrineris japonica,3,Correct
Dummy1,Lysippe sp,3,Correct
Dummy1,Macoma yoldiformis,1,Correct
Dummy1,Maldanidae,3,Correct
Dummy1,Marphysa sp A,7,Correct
Dummy1,Mediomastus sp,3,Correct
Dummy1,Melinna sp,1,Correct
Dummy1,Metasychis disparidentatus,1,Correct
Dummy1,Monticellina cryptica,12,Correct
Dummy1,Monticellina siblina,18,Correct
Dummy1,Neomysis sp,3,Correct
Dummy1,Neotrypaea sp,1,Correct
Dummy1,Nereis procera,3,Correct
Dummy1,Neverita reclusiana,1,Correct
Dummy1,Notomastus sp,1,Correct
Dummy1,Olivella baetica,1,Correct
Dummy1,Paramage scutata,1,Correct
Dummy1,Paraprionospio pinnata,2,Correct
Dummy1,Petaloclymene pacifica,1,Correct
Dummy1,Philine sp,1,Correct
Dummy1,Phoronida,5,Correct
Dummy1,Photis bifurcata,1,Correct
Dummy1,Photis brevipes,2,Correct
Dummy1,Photis californica,2,Correct
Dummy1,Pista percyi,2,Correct
Dummy1,Podarkeopsis glabrus,1,Correct
Dummy1,Polycirrus sp,2,Correct
Dummy1,Praxillella pacifica,2,Correct
Dummy1,Prionospio (Prionospio) jubata,2,Correct
Dummy1,Pyromaia tuberculata,1,Correct
Dummy1,Rochefortia tumida,3,Correct
Dummy1,Scolanthus sp B,1,Correct
Dummy1,Scoletoma sp A,32,Correct
Dummy1,Sphaerosyllis californiensis,1,Correct
Dummy1,Spiochaetopterus costarum,4,Correct
Dummy1,Spiophanes berkeleyorum,19,Correct
Dummy1,Spiophanes duplex,16,Correct
Dummy1,Streblosoma sp,4,Correct
Dummy1,Tellina modesta,1,Correct
Dummy1,Terebellides californica,1,Correct
Dummy1,Theora lubrica,17,Correct
Dummy1,Thyasira flexuosa,6,Correct
Dummy1,Tubulanus sp,8,Correct
Dummy1,Volvulella panamica,1,Correct
DemoData,Acteocina inculta,1,Correct
DemoData,Chione californiensis,1,Correct
DemoData,Cossura sp A,1,Correct
DemoData,Diadumene sp,11,Correct
DemoData,Dorvillea (Schistomeringos) sp,5,Correct
