"Taxon","Exclude","Hybrid","US","Standard","US_East","US_Gulf","US_West","Oligochaeta"
"Ampelisca pseudosarsi",,"I",,"I",,,,"No"
"Ampelisca pseudospinimana",,"I",,"I",,,,"No"
"Ampelisca pugetica",,"II","II","II",,,"II","No"
"Ampelisca romigi",,"II",,"II",,,,"No"
"Ampelisca ruffoi",,"I",,"I",,,,"No"
"Ampelisca sarsi",,"I",,"I",,,,"No"
"Ampelisca spinifer",,"I",,"I",,,,"No"
"Ampelisca spinimana",,"I",,"I",,,,"No"
"Ampelisca spinipes",,"I",,"I",,,,"No"
"Ampelisca spooneri",,"I",,"I",,,,"No"
"Ampelisca tenuicornis",,"I",,"I",,,,"No"
"Ampelisca toulemonti",,"I",,"I",,,,"No"
"Ampelisca truncata",,"I",,"I",,,,"No"
"Ampelisca typica",,"I",,"I",,,,"No"
"Ampelisca unsocalae",,"II","II",,,,"II","No"
"Ampelisca vadorum",,"III","III","I","III","III",,"No"
"Ampelisca verrilli",,"II","II","I","II",,,"No"
"Ampeliscidae","Yes",,,"I",,,,"No"
"Ampharete acutifrons",,"II","II","II","II",,"II","No"
"Ampharete baltica",,"II","II","II","II",,,"No"
"Ampharete crassiseta",,"III","III",,,,"III","No"
"Ampharete falcata",,"II",,"II",,,,"No"
"Ampharete finmarchica",,"I","I","I","I",,"II","No"
"Ampharete goesi",,"I",,"I",,,,"No"
"Ampharete grubei",,"I",,"I",,,,"No"
"Ampharete labrops",,"II","II","II",,,"II","No"
"Ampharete lindstroemi",,"I",,"I",,,,"No"
"Ampharetides",,"I",,"I",,,,"No"
"Amphichaeta leydigii",,"V",,"V",,,,"No"
"Amphichaeta sannio",,"V",,"V",,,,"No"
"Amphicteis floridus",,"III","III","III",,"III",,"No"
"Amphicteis gunneri",,"III",,"III",,,,"No"
"Amphicteis midas",,"III",,"III",,,,"No"
"Amphicteis scaphobranchiata",,"I","I","I",,,"I","No"
"Amphictene",,"I",,"I",,,,"No"
"Amphictene auricoma",,"I",,"I",,,,"No"
"Amphictene capensis",,"I",,"I",,,,"No"
"Amphidesma lucinale",,"I",,"I",,,,"No"
"Amphideutopus oculatus",,"III","III","III",,,"III","No"
"Amphiduros",,"I",,"I",,,,"No"
"Amphiglena mediterranea",,"I",,"I",,,,"No"
"Amphilepis norvegica",,"I",,"I",,,,"No"
"Amphilochoides",,"II",,"II",,,,"No"
"Amphilochoides boecki",,"II",,"II",,,,"No"
"Amphilochoides gracilis",,"II",,"II",,,,"No"
"Amphilochoides odontonyx",,"II",,"II",,,,"No"
"Amphilochoides serratipes",,"II",,"II",,,,"No"
"Amphilochus",,"II",,"II",,,,"No"
"Amphilochus manudens",,"II",,"II",,,,"No"
"Amphilochus neapolitanus",,"II",,"II",,,,"No"
"Amphilochus spencebatei",,"II",,"II",,,,"No"
"Amphinome rostrata",,"I",,"I",,,,"No"
"Amphiodia",,"I","I","I",,,"I","No"
"Amphiodia atra",,"II","II",,"II","II",,"No"
"Amphiodia trychna",,"II","II",,,"II",,"No"
"Amphiodia urtica",,"I","I",,,,"I","No"
"Amphioplus",,"I","I",,,,"I","No"
"Amphioplus japonicus",,"II",,"II",,,,"No"
"Amphioplus macraspis",,"I","I",,,,"I","No"
"Amphioplus sinicus",,"II",,"II",,,,"No"
"Amphioplus strongyloplax",,"I",,"I",,,,"No"
"Amphipholis",,"I","I","I",,,"I","No"
"Amphipholis gracillima",,"I",,"I",,,,"No"
"Amphipholis januarii",,"I",,"I",,,,"No"
"Amphipholis squamata",,"II","II","I","II","II","II","No"
"Amphiporus",,"II","II",,,,"II","No"
"Amphiporus allucens",,"III",,"III",,,,"No"
"Amphiporus bimaculatus",,"II",,"II",,,,"No"
"Amphiporus bioculatus",,"III",,"III",,,,"No"
"Amphiporus californianus",,"II",,"II",,,,"No"
"Amphiporus californicus",,"II",,"II",,,,"No"
"Amphiporus cruentatus",,"II",,"II",,,,"No"
"Amphiporus impanspinosus",,"II",,"II",,,,"No"
"Amphiporus lactifloreus",,"III",,"III",,,,"No"
"Amphiporus rubellus",,"II",,"II",,,,"No"
"Amphissa undata",,"II",,"II",,,,"No"
"Amphitrite",,"I",,"I",,,,"No"
"Amphitrite auricoma",,"I",,"I",,,,"No"
"Amphitrite cirrata",,"I",,"I",,,,"No"
"Amphitrite gracilis",,"II",,"II",,,,"No"
"Amphitrite johnstoni",,"I",,"I",,,,"No"
"Amphitrite robusta",,"II",,"II",,,,"No"
"Amphitrite rubra",,"I",,"I",,,,"No"
"Amphitritides gracilis",,"II",,"II",,,,"No"
"Amphiura",,"II",,"II",,,,"No"
"Amphiura acrystata",,"I","I",,,,"I","No"
"Amphiura brachiata",,"I",,"I",,,,"No"
"Amphiura cherbonnieri",,"II",,"II",,,,"No"
"Amphiura chiajei",,"II",,"II",,,,"No"
"Amphiura filiformis",,"II",,"II",,,,"No"
"Amphiura griegi",,"II",,"II",,,,"No"
"Amphiura palmeri",,"II",,"II",,,,"No"
"Amphiura securigera",,"II",,"II",,,,"No"
"Amphiura vadicola",,"II",,"II",,,,"No"
"Amphiuridae",,"II","II","II",,"II","II","No"
"Ampithoe",,"I","I","I","II","I",,"No"
"Ampithoe helleri",,"III",,"III",,,,"No"
"Ampithoe lacertosa",,"II","II","II",,,"II","No"
"Ampithoe longimana",,"II",,"II",,,,"No"
"Ampithoe plumulosa",,"II",,"II",,,,"No"
"Ampithoe ramondi",,"III",,"III",,,,"No"
"Ampithoe rubricata",,"I",,"I",,,,"No"
"Ampithoe valida",,"II","II","II",,,"II","No"
"Amygdalum",,"III",,"III",,,,"No"
"Amygdalum papyrium",,"II","II","III",,"II",,"No"
"Amygdalum soyoae",,"III",,"III",,,,"No"
"Amythasides macroglossus",,"I",,"I",,,,"No"
"Anachis",,"I",,"I",,,,"No"
"Anachis avara",,"I",,"I",,,,"No"
"Anachis catenata",,"I",,"I",,,,"No"
"Anachis floridana",,"I",,"I",,,,"No"
"Anachis lafresnayi",,"I",,"I",,,,"No"
"Anachis obesa",,"I","I","I","I",,,"No"
"Anachis pulchella",,"I",,"I",,,,"No"
"Anachis sparsa",,"I",,"I",,,,"No"
"Anachlamys",,"I",,"I",,,,"No"
"Anadara demiri",,"IV",,"IV",,,,"No"
"Anadara diluvii",,"I",,"I",,,,"No"
"Anadara inaequivalvis",,"IV",,"IV",,,,"No"
"Anadara multicostata",,"II",,"II",,,,"No"
"Anadara polii",,"I",,"I",,,,"No"
"Anadara transversa",,"I","I","II","I",,,"No"
"Anaitides groenlandica",,"IV",,"IV",,,,"No"
"Anaitides lamelligera",,"II",,"II",,,,"No"
"Anaitides lineata",,"II",,"II",,,,"No"
"Anaitides longipes",,"II",,"II",,,,"No"
"Anaitides maculata",,"II",,"II",,,,"No"
"Anaitides madeirensis",,"II",,"II",,,,"No"
"Anaitides mucosa",,"III",,"III",,,,"No"
"Anaitides papillosa",,"II",,"II",,,,"No"
"Anaitides rosea",,"II",,"II",,,,"No"
"Anaitides subulifera",,"II",,"II",,,,"No"
"Anapagurus",,"I",,"I",,,,"No"
"Anapagurus bicorniger",,"I",,"I",,,,"No"
"Anapagurus breviaculeatus",,"I",,"I",,,,"No"
"Anapagurus chiroacanthus",,"I",,"I",,,,"No"
"Anapagurus hyndmanni",,"I",,"I",,,,"No"
"Anapagurus laevis",,"III",,"III",,,,"No"
"Anapagurus longispina",,"I",,"I",,,,"No"
"Anapagurus petiti",,"I",,"I",,,,"No"
"Anapagurus serripes",,"I",,"I",,,,"No"
"Anapagurus smythi",,"I",,"I",,,,"No"
"Anchialina agilis",,"II",,"II",,,,"No"
"Anchicolurus occidentalis",,"I","I","I",,,"I","No"
"Ancinus granulatus",,"I",,"I",,,,"No"
"Ancistrosyllis",,"III","III","III",,"III",,"No"
"Ancistrosyllis carolinensis",,"III",,"III",,,,"No"
"Ancistrosyllis commensalis",,"III","III",,,"III",,"No"
"Ancistrosyllis groenlandica",,"III","III","III",,"III",,"No"
"Ancistrosyllis hartmanae",,"III","III","III","I","III",,"No"
"Ancistrosyllis jonesi",,"III","III","III",,"III",,"No"
"Ancistrosyllis papillosa",,"III","III",,,"III",,"No"
"Ancistrosyllis parva",,"III",,"III",,,,"No"
"Ancula",,"I",,"I",,,,"No"
"Anemonactis",,"II","II","II",,,"II","No"
"Anguinella palmata",,"II",,"II",,,,"No"
"Angulus agilis",,"II","II",,"II",,,"No"
"Angulus lanceolatus",,"I",,"I",,,,"No"
"Angulus merus",,"I","I",,,"I",,"No"
"Angulus squalidus",,"I",,"I",,,,"No"
"Angulus tampaensis",,"I","I",,,"I",,"No"
"Angulus tenellus",,"I","I",,,"I",,"No"
"Angulus tenuis",,"I",,"I",,,,"No"
"Angulus texanus",,"I","I",,,"I",,"No"
"Angulus versicolor",,"I","I",,,"I",,"No"
"Angulus vestalioides",,"I",,"I",,,,"No"
"Anisogammarus pugettensis",,"II","II",,,,"II","No"
"Anobothrus",,"III",,"III",,,,"No"
"Anobothrus gracilis",,"II","II","III","III",,"II","No"
"Anodontia fragilis",,"I",,"I",,,,"No"
"Anomalocardia auberiana",,"I","I","I",,"I",,"No"
"Anomia",,"I",,"I",,,,"No"
"Anomia ephippium",,"I",,"I",,,,"No"
"Anomia simplex",,"I","I",,"I",,,"No"
"Anomiidae",,"I",,"I",,,,"No"
"Anonyx",,"II",,"II",,,,"No"
"Anonyx lilljeborgii",,"II",,"II",,,,"No"
"Anonyx nugax",,"II",,"II",,,,"No"
"Anonyx sarsi",,"II",,"II",,,,"No"
"Anoplodactylus",,"II",,"II",,,,"No"
"Anoplodactylus erectus",,"II","II","II",,,"II","No"
"Anoplodactylus nodosus",,"II",,"II",,,,"No"
"Anoplodactylus pacificus",,"II",,"II",,,,"No"
"Anoplodactylus petiolatus",,"II",,"II",,,,"No"
"Anoplodactylus pygmaeus",,"II",,"II",,,,"No"
"Anoplodactylus viridintestinalis",,"II",,"II",,,,"No"
