"stationid","replicate","sampledate","taxon","abundance"
"art-1",1,"7/21/2003","Adontorhina cyclia",5
"art-1",1,"7/21/2003","Ampelisca pacifica",3
"art-1",1,"7/21/2003","Amphichondrius granulatus",1
"art-1",1,"7/21/2003","Amphicteis scaphobranchiata",2
"art-1",1,"7/21/2003","Axinopsida serricata",1
"art-1",1,"7/21/2003","Bathymedon vulpeculus",1
"art-1",1,"7/21/2003","Campylaspis rubromaculata",1
"art-1",1,"7/21/2003","Cirrophorus branchiatus",1
"art-1",1,"7/21/2003","Eranno lagunae",1
"art-1",1,"7/21/2003","Halicoides synopiae",1
"art-1",1,"7/21/2003","Haliophasma geminatum",2
"art-1",1,"7/21/2003","Mayerella banksia",1
"art-1",1,"7/21/2003","Melinna oculata",1
"art-1",1,"7/21/2003","Nicippe tumida",1
"art-1",1,"7/21/2003","Paradiopatra parva",10
"art-1",1,"7/21/2003","Pectinaria californiensis",2
"art-1",1,"7/21/2003","Procampylaspis caenosa",1
"art-1",1,"7/21/2003","Rhodine bitorquata",1
"art-1",1,"7/21/2003","Scalibregma californicum",2
"art-1",1,"7/21/2003","Scleroconcha trituberculata",2
"art-1",1,"7/21/2003","Syrrhoe sp A",1
"art-2",1,"7/23/2003","Ampelisca brachycladus",1
"art-2",1,"7/23/2003","Ampelisca brevisimulata",1
"art-2",1,"7/23/2003","Ampharete finmarchica",1
"art-2",1,"7/23/2003","Ampharete labrops",10
"art-2",1,"7/23/2003","Amphideutopus oculatus",7
"art-2",1,"7/23/2003","Argissa hamatipes",2
"art-2",1,"7/23/2003","Chaetozone corona",2
"art-2",1,"7/23/2003","Diopatra splendidissima",1
"art-2",1,"7/23/2003","Euphilomedes carcharodonta",6
"art-2",1,"7/23/2003","Eurydice caudata",3
"art-2",1,"7/23/2003","Gastropteron pacificum",4
"art-2",1,"7/23/2003","Glycinde armigera",5
"art-2",1,"7/23/2003","Goniada littorea",2
"art-2",1,"7/23/2003","Hemilamprops californicus",6
"art-2",1,"7/23/2003","Kurtziella plumbea",1
"art-2",1,"7/23/2003","Macoma yoldiformis",1
"art-2",1,"7/23/2003","Metasychis disparidentatus",14
"art-2",1,"7/23/2003","Nephtys caecoides",4
"art-2",1,"7/23/2003","Oxyurostylis pacifica",1
