"stationid","sampledate","latitude","longitude","depth","replicate","taxon","abundance"
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Adontorhina cyclia",5
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Ampelisca pacifica",3
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Amphichondrius granulatus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Amphicteis scaphobranchiata",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Axinopsida serricata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Bathymedon vulpeculus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Campylaspis rubromaculata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Cirrophorus branchiatus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Eranno lagunae",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Halicoides synopiae",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Haliophasma geminatum",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Mayerella banksia",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Melinna oculata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Nicippe tumida",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Paradiopatra parva",10
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Pectinaria californiensis",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Procampylaspis caenosa",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Rhodine bitorquata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Scalibregma californicum",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Scleroconcha trituberculata",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Syrrhoe sp A",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampelisca brachycladus",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampelisca brevisimulata",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampharete finmarchica",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampharete labrops",10
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Amphideutopus oculatus",7
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Argissa hamatipes",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Chaetozone corona",2
