stationid,replicate,sampledate,taxon,abundance,exclude
djg-001,1,7/6/1975,NoOrganismsPresent,0,No
djg-002,1,9/26/2023,Cuspidaria parapodema,1,No
djg-002,1,9/26/2023,Tellina carpenteri,8,No
djg-002,1,9/26/2023,Axinopsida serricata,1,No
djg-002,1,9/26/2023,Spatangoida,3,No
djg-002,1,9/26/2023,Amphipoda,2,No
djg-002,1,9/26/2023,Ampelisca hancocki,1,No
djg-002,1,9/26/2023,Ampelisca sp,4,No
djg-002,1,9/26/2023,Tritella tenuissima,1,No
djg-002,1,9/26/2023,Photis sp,4,No
djg-002,1,9/26/2023,Hippomedon sp,5,No
djg-002,1,9/26/2023,Rhepoxynius bicuspidatus,3,No
djg-002,1,9/26/2023,Diastylis crenellata,2,No
BOEM23-002,1,9/26/2023,Westwoodilla tone,1,No
BOEM23-002,1,9/26/2023,Foxiphalus cognatus,2,No
BOEM23-001,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-001,1,9/26/2023,Tellina carpenteri,8,No
BOEM23-001,1,9/26/2023,Axinopsida serricata,1,No
BOEM23-001,1,9/26/2023,Spatangoida,3,No
BOEM23-001,1,9/26/2023,Amphipoda,2,No
BOEM23-001,1,9/26/2023,Ampelisca hancocki,1,No
BOEM23-001,1,9/26/2023,Ampelisca sp,4,No
BOEM23-001,1,9/26/2023,Tritella tenuissima,1,No
BOEM23-001,1,9/26/2023,Photis sp,4,No
BOEM23-001,1,9/26/2023,Hippomedon sp,5,No
BOEM23-001,1,9/26/2023,Rhepoxynius bicuspidatus,3,No
BOEM23-001,1,9/26/2023,Diastylis crenellata,2,No
BOEM23-001,1,9/26/2023,Eudorella truncatula,1,No
BOEM23-001,1,9/26/2023,Eudorellopsis longirostris,1,No
BOEM23-001,1,9/26/2023,Procampylaspis caenosa,1,No
BOEM23-001,1,9/26/2023,Haliophasma geminata,2,No
BOEM23-001,1,9/26/2023,Caecognathia crenulatifrons,3,No
BOEM23-001,1,9/26/2023,Ilyarachna acarina,1,No
BOEM23-001,1,9/26/2023,Munnogonium tillerae,3,No
BOEM23-001,1,9/26/2023,Tanaella propinquus,5,No
BOEM23-001,1,9/26/2023,Amphiodia digitata,12,No
BOEM23-001,1,9/26/2023,Ophiura luetkenii,3,No
BOEM23-001,1,9/26/2023,Podocopa,1,No
BOEM23-001,1,9/26/2023,Euphilomedes producta,19,No
BOEM23-001,1,9/26/2023,Decamastus gracilis,10,No
BOEM23-001,1,9/26/2023,Mediomastus sp,3,No
BOEM23-001,1,9/26/2023,Notomastus latericeus,1,No
BOEM23-001,1,9/26/2023,Euclymeninae,8,Yes
BOEM23-001,1,9/26/2023,Euclymeninae sp A,2,No
BOEM23-001,1,9/26/2023,Nephtys ferruginea,3,No
BOEM23-001,1,9/26/2023,Onuphidae,1,Yes
BOEM23-001,1,9/26/2023,Mooreonuphis segmentispadix,51,No
BOEM23-001,1,9/26/2023,Pholoe glabra,1,No
BOEM23-001,1,9/26/2023,Malmgreniella baschi,1,No
BOEM23-001,1,9/26/2023,Subadyte mexicana,1,No
BOEM23-001,1,9/26/2023,Syllis heterochaeta,1,No
BOEM23-001,1,9/26/2023,Melinna oculata,2,No
BOEM23-001,1,9/26/2023,Spiochaetopterus costarum Cmplx,3,No
BOEM23-001,1,9/26/2023,Cirratulidae,4,No
BOEM23-001,1,9/26/2023,Pectinaria californiensis,1,No
BOEM23-001,1,9/26/2023,Sabellidae,2,No
BOEM23-001,1,9/26/2023,Paraprionospio alata,1,No
BOEM23-001,1,9/26/2023,Prionospio sp,4,No
BOEM23-001,1,9/26/2023,Spiophanes berkeleyorum,11,No
BOEM23-001,1,9/26/2023,Terebellidae,7,Yes
BOEM23-001,1,9/26/2023,Phisidia sanctaemariae,32,No
BOEM23-001,1,9/26/2023,Polycirrus sp,1,No
BOEM23-001,1,9/26/2023,Levinsenia gracilis,1,No
BOEM23-002,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-002,1,9/26/2023,Amygdalum pallidulum,1,No
BOEM23-002,1,9/26/2023,Parvilucina tenuisculpta,1,No
BOEM23-002,1,9/26/2023,Tellina carpenteri,10,No
BOEM23-002,1,9/26/2023,Thyasira flexuosa,1,No
BOEM23-002,1,9/26/2023,Ampelisca sp,2,No
BOEM23-002,1,9/26/2023,Tritella tenuissima,1,No
BOEM23-002,1,9/26/2023,Photis sp,1,No
BOEM23-002,1,9/26/2023,Hippomedon sp,5,No
BOEM23-002,1,9/26/2023,Rhepoxynius bicuspidatus,2,No
BOEM23-002,1,9/26/2023,Anonyx lilljeborgi,3,No
BOEM23-002,1,9/26/2023,Diastylis crenellata,4,No
BOEM23-002,1,9/26/2023,Eudorella truncatula,1,No
BOEM23-002,1,9/26/2023,Haliophasma geminata,3,No
BOEM23-002,1,9/26/2023,Gnathiidae,1,No
BOEM23-002,1,9/26/2023,Munnogonium tillerae,1,No
BOEM23-002,1,9/26/2023,Nebalia pugettensis Cmplx,1,No
BOEM23-002,1,9/26/2023,Tanaopsis cadieni,1,No
BOEM23-002,1,9/26/2023,Amphiodia digitata,6,No
BOEM23-002,1,9/26/2023,Euphilomedes producta,1,No
BOEM23-002,1,9/26/2023,Notomastus latericeus,2,No
BOEM23-002,1,9/26/2023,Praxillella pacifica,7,No
