stationid,replicate,taxon,abundance,exclude,sampledate,salinity,latitude,longitude,depth
poor-001,1,Ampharete sp,5,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Ampharetidae,8,Yes,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphicteis sp,8,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphiduros sp,8,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphipholis sp,5,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphipoda,5,Yes,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphiporus bimaculatus,5,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphiporus californicus,51,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Amphiporus cruentatus,1,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Ampithoe valida,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Anoplodactylus nodosus,1,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Anoplodactylus viridintestinalis,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aonides sp,1,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aoroides intermedia,4,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aphelochaeta glandaria Cmplx,22,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aphelochaeta petersenae,200,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Apistobranchus ornatus,1,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aricidea (Acmira) simplex,7,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Aruga sp,7,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Berthella sp,5,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Boccardiella hamata,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Capitella capitata Cmplx,52,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Chironomidae,50,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Gnorimosphaeroma oregonense,123,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Grandidierella japonica,145,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Marphysa angelensis,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Marphysa stylobranchiata,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Monocorophium insidiosum,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Phoronida,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Polydora nuchalis,123,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Pontogeneia rostrata,52,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Protohyale frequens,2,No,9/19/2018,28,33.75301,-118.1053,3
poor-001,1,Tryonia sp,100,No,9/19/2018,28,33.75301,-118.1053,3
good_001,1,Acanthodoris hudsoni,24,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Acanthodoris rhodoceras,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Achelia simplissima,4,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Achelia sp,9,Yes,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Acidostoma hancocki,2,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Acteocina culcitella,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Acteocina harpa,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Acteocina sp,1,Yes,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Actiniaria,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Adula diegensis,5,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Aegires albopunctatus,5,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Aglaja ocelligera,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Aglaja sp,1,Yes,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Allorchestes angusta,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alpheidae,4,Yes,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alpheopsis equidactylus,5,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alpheus bellimanus,15,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alpheus clamator,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alpheus sp,5,Yes,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Alvania compacta,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Amaeana occidentalis,8,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Amathia sp,2,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Amathimysis trigibba,5,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Amblyosyllis sp,4,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Americhelidium sp,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Ampelisca agassizi,2,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Ampelisca brachycladus,3,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Ampelisca cristata,1,No,7/17/2018,33,32.71823,-117.2304,3.2
good_001,1,Ampelisca lobata,3,No,7/17/2018,33,32.71823,-117.2304,3.2
