stationid,latitude,longitude,depth,stationdepthunits,areaweight,replicate,sampledate,taxon,abundance,exclude,stratum,finalstratum,salinity,areaweight_all_sites
djg-00001,33.7591852,-118.1626052,22,m,,1,7/6/1975,NoOrganismsPresent,0,No,,,30,
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Amphideutopus oculatus,150,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Petaloclymene pacifica,26,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Maldanidae,22,Yes,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Chondrochelia dubia Cmplx,21,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Scoletoma sp A,18,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Scoletoma sp,16,Yes,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Ampelisca cristata microdentata,13,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Cossura candida,12,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Scoletoma sp B,10,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Mediomastus sp,9,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Praxillella pacifica,9,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Cossura sp A,6,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Goniada littorea,6,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Sinocorophium heteroceratum,6,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Diplocirrus sp SD1,5,No,Bays,Bays,12,2.13005774
djg-00002,33.7621,-118.1501922,7,m,2.13005774,1,7/24/2018,Listriella goleta,5,No,Bays,Bays,12,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Amphideutopus oculatus,37,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Chondrochelia dubia Cmplx,18,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Scoletoma sp,16,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Scoletoma sp A,16,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Chaetozone corona,12,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Paramicrodeutopus schmitti,12,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Laevicardium substriatum,10,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Polydora cirrosa,10,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Amaeana occidentalis,9,No,Bays,Bays,-88,2.13005774
