"sample_id","station_id","replicate","sample_date","taxon","abundance","depth","latitude","longitude"
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Mooreonuphis segmentispadix",51,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Phisidia sanctaemariae",32,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Euphilomedes producta",19,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Amphiodia digitata",12,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Spiophanes berkeleyorum",11,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Decamastus gracilis",10,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Tellina carpenteri",8,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Euclymeninae",8,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Terebellidae",7,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Hippomedon sp",5,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Tanaella propinquus",5,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Ampelisca sp",4,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Photis sp",4,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Cirratulidae",4,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Prionospio sp",4,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Spatangoida",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Rhepoxynius bicuspidatus",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Caecognathia crenulatifrons",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Munnogonium tillerae",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Ophiura luetkenii",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Mediomastus sp",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Nephtys ferruginea",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Spiochaetopterus costarum Cmplx",3,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Amphipoda",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Diastylis crenellata",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Haliophasma geminata",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Euclymeninae sp A",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Melinna oculata",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Sabellidae",2,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Cuspidaria parapodema",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Axinopsida serricata",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Ampelisca hancocki",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Tritella tenuissima",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Eudorella truncatula",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Eudorellopsis longirostris",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Procampylaspis caenosa",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Ilyarachna acarina",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Podocopa",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Notomastus latericeus",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Onuphidae",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Pholoe glabra",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Malmgreniella baschi",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Subadyte mexicana",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Syllis heterochaeta",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Pectinaria californiensis",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Paraprionospio alata",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Polycirrus sp",1,208,34.12909721,-119.38619653
"BOEM23-001_2023-09-26_1","BOEM23-001",1,2023-09-26,"Levinsenia gracilis",1,208,34.12909721,-119.38619653
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Mooreonuphis segmentispadix",25,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Spiochaetopterus costarum Cmplx",24,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Tellina carpenteri",10,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Praxillella pacifica",7,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Amphiodia digitata",6,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Pista wui",6,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Hippomedon sp",5,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Diastylis crenellata",4,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Prionospio sp",4,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Cadulus californicus",4,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Anonyx lilljeborgi",3,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Haliophasma geminata",3,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Glycera oxycephala",3,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Spiophanes berkeleyorum",3,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Foxiphalus cognatus",2,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Ampelisca sp",2,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Rhepoxynius bicuspidatus",2,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Notomastus latericeus",2,230,34.11460964,-119.39124431
"BOEM23-002_2023-09-26_1","BOEM23-002",1,2023-09-26,"Phyllodoce groenlandica",2,230,34.11460964,-119.39124431
