"taxon","bri_dz","p_code"
"Acidostoma hancocki","deep","P002"
"Acoetes pacifica","mid","P005"
"Aglaophamus verrilli","deep","P015"
"Aglaophamus verrilli","mid","P015"
"Amage anops","mid","P024"
"Amage scutata","mid","P367"
"Ampelisca agassizi","deep","P025"
"Ampelisca brevisimulata","mid","P027"
"Ampelisca careyi","deep","P028"
"Ampelisca careyi","mid","P028"
"Ampelisca hancocki","deep","P030"
"Ampelisca hancocki","mid","P030"
"Ampelisca pacifica","deep","P033"
"Ampelisca pacifica","mid","P033"
"Amphichondrius granulatus","deep","P042"
"Amphideutopus oculatus","mid","P045"
"Amphiodia digitata","deep","P046"
"Amphiodia digitata","mid","P046"
"Amphiodia urtica","deep","P046"
"Amphiodia urtica","mid","P046"
"Amphipholis squamata","deep","P048"
"Amygdalum pallidulum","deep","P052"
"Anobothrus gracilis","mid","P055"
"Anonyx lilljeborgi","deep","P056"
"Antalis pretiosa","deep","P146"
"Antalis pretiosa","mid","P146"
"Aphelochaeta glandaria Cmplx","deep","P059"
"Aphrodita sp","mid","P060"
"Araphura breviaria","mid","P065"
"Aricidea (Acmira) catherinae","deep","P004"
"Aricidea (Acmira) catherinae","mid","P004"
"Aricidea (Acmira) lopezi","deep","P004"
"Aruga holmesi","deep","P073"
"Aruga holmesi","mid","P073"
"Astropecten californicus","deep","P077"
"Astropecten californicus","mid","P077"
"Axinopsida serricata","deep","P079"
"Axinopsida serricata","mid","P079"
"Brissopsis pacifica","deep","P092"
"Byblis millsi","mid","P093"
"Byblis veleronis","deep","P093"
"Caecognathia crenulatifrons","deep","P212"
"Caecognathia crenulatifrons","mid","P212"
"Campylaspis rubromaculata","deep","P099"
"Capitella capitata Cmplx","mid","P103"
"Cephalophoxoides homilis","mid","P109"
"Cephalophoxoides homilis","deep","P109"
"Ceriantharia","mid","P111"
"Chaetozone hartmanae","mid","P108"
"Chiridota sp","mid","P495"
"Chloeia pinnata","deep","P118"
"Chloeia pinnata","mid","P118"
"Chondrochelia dubia Cmplx","mid","P251"
"Chondrochelia dubia Cmplx","deep","P251"
"Cirrophorus branchiatus","deep","P122"
"Compsomyax subdiaphana","mid","P126"
"Cossura candida","mid","P132"
"Cossura sp","mid","P132"
"Cossura sp A","mid","P132"
"Cossura sp A","deep","P132"
"Crenella decussata","mid","P134"
"Cuspidaria parapodema","deep","P138"
"Cuspidaria parapodema","mid","P138"
"Cylichna diegensis","deep","P141"
"Decamastus gracilis","deep","P142"
"Decamastus gracilis","mid","P142"
"Diastylis crenellata","deep","P150"
"Diastylis crenellata","mid","P150"
"Diastylis pellucida","deep","P149"
"Diastylis sentosa","deep","P148"
"Dipolydora socialis","deep","P419"
"Dipolydora socialis","mid","P419"
"Dougaloplus amphacanthus","deep","P156"
"Dougaloplus amphacanthus","mid","P156"
"Edwardsia sp","mid","P160"
"Ennucula tenuis","mid","P161"
"Epitonium sawinae","deep","P166"
"Eranno lagunae","mid","P167"
"Eteone pigmentata","deep","P171"
"Euchone incolor","deep","P172"
"Eudorellopsis longirostris","deep","P174"
"Eulalia sp","deep","P175"
"Euphilomedes carcharodonta","deep","P180"
"Euphilomedes producta","deep","P181"
"Euphilomedes producta","mid","P181"
"Exogone lourei","deep","P189"
"Eyakia robusta","deep","P191"
"Falcidens longus","deep","P062"
"Falcidens longus","mid","P062"
"Foxiphalus cognatus","deep","P193"
"Gastropteron pacificum","mid","P202"
